Tanggal,qty,Jumlah
2016-10-03,4324,22266592
2016-10-04,2818,14508735
2016-10-05,2404,12378694
2016-10-06,3414,17581894
2016-10-07,3135,16147722
2016-10-08,3260,16788125
2016-10-09,2642,13604086
2016-10-10,2455,12641448
2016-10-11,3950,20343015
2016-10-12,2074,10679607
2016-10-13,2883,14846472
2016-10-14,2208,11369140
2016-10-15,2710,13954646
2016-10-16,918,4727391
2016-10-17,3434,17682989
2016-10-18,3010,15502994
2016-10-19,3461,17823429
2016-10-20,3897,20067593
2016-10-21,1800,9272420
2016-10-22,4420,22762742
2016-10-23,1646,8477261
2016-10-24,3654,18820521
2016-10-25,4190,21580663
2016-10-26,3316,17075649
2016-10-27,2981,15354159
2016-10-28,2809,14467586
2016-10-29,1712,8816130
2016-10-30,2597,13374653
2016-10-31,2556,13164379
2016-11-01,2678,13789280
2016-11-02,3389,17455668
2016-11-03,3656,18826752
2016-11-04,2711,13965152
2016-11-05,3372,17365904
2016-11-06,1987,10232792
2016-11-07,4982,25655447
2016-11-08,4227,21770132
2016-11-09,6425,33089625
2016-11-10,649,3342505
2016-11-11,4641,23900017
2016-11-12,2807,14457286
2016-11-13,2111,10872165
2016-11-14,2419,12458622
2016-11-15,3560,18332301
2016-11-16,2848,14665655
2016-11-17,2415,12435963
2016-11-18,2992,15409058
2016-11-19,3080,15861382
2016-11-20,2149,11068123
2016-11-21,2666,13727480
2016-11-22,2459,12663232
2016-11-23,2890,14882677
2016-11-24,2779,14312314
2016-11-25,2278,11730825
2016-11-26,1615,8315242
2016-11-27,2469,12715454
2016-11-28,838,4315185
2016-11-29,1683,8665030
2016-11-30,2583,13303481
2016-12-01,3062,15768271
2016-12-02,1149,5919153
2016-12-03,1752,9020998
2016-12-04,3199,16475107
2016-12-05,2569,13231586
2016-12-06,1972,10156624
2016-12-07,4055,20880675
2016-12-08,3366,17337011
2016-12-09,4872,25091264
2016-12-10,1306,6726931
2016-12-11,171,880393
2016-12-13,2326,11979893
2016-12-14,4421,22766553
2016-12-15,4555,23457427
2016-12-16,3745,19288295
2016-12-17,1233,6352474
2016-12-20,1850,9526624
2016-12-21,4106,21143531
2016-12-22,4056,20888813
2016-12-23,2107,10851668
2016-12-24,2410,12411500
2016-12-25,1266,6522011
2016-12-27,2300,11846237
2016-12-28,2753,14178672
2016-12-29,2560,13182352
2016-12-30,1700,8752786
2016-12-31,1701,8760820
2017-01-01,1352,6964912
2017-01-02,2200,11330000
2017-01-03,1363,7021974
2017-01-04,2353,12119444
2017-01-05,2987,15383257
2017-01-06,1920,9888567
2017-01-07,2195,11304199
2017-01-08,2069,10653599
2017-01-09,2913,15004474
2017-01-10,4034,20773143
2017-01-11,3969,20442771
2017-01-12,3397,17494961
2017-01-13,5129,26413321
2017-01-14,2395,12333735
2017-01-15,2315,11923692
2017-01-16,3172,16335749
2017-01-17,3622,18651755
2017-01-18,3080,15862824
2017-01-19,2527,13012403
2017-01-20,2877,14814748
2017-01-21,2691,13857672
2017-01-22,2215,11176221
2017-01-23,3501,18027781
2017-01-24,3277,16874851
2017-01-25,1539,7924821
2017-01-26,4013,20669165
2017-01-27,3480,17920301
2017-01-28,2609,13437535
2017-01-29,1545,7955463
2017-01-30,3292,16955088
2017-01-31,2151,11078629
2017-02-01,4034,20774430
2017-02-02,3836,19754937
2017-02-03,2507,12910690
2017-02-04,7942,40902793
2017-02-05,3282,16903072
2017-02-06,8072,41568483
2017-02-07,3220,16585318
2017-02-08,5359,27600447
2017-02-09,5336,27478134
2017-02-10,2249,11581990
2017-02-11,3656,18828607
2017-02-12,2039,10501107
2017-02-13,3982,20507764
2017-02-14,2989,15393710
2017-02-15,2253,11604032
2017-02-16,3376,17385679
2017-02-17,2831,14578363
2017-02-18,3743,19278099
2017-02-19,2275,11714912
2017-02-20,3788,19507943
2017-02-21,2414,12429526
2017-02-22,5536,28510401
2017-02-23,3240,16688524
2017-02-24,3387,17440527
2017-02-25,2878,14820567
2017-02-26,2384,12276879
2017-02-27,3405,17537347
2017-02-28,2943,15156295
2017-03-01,3826,19702098
2017-03-02,2012,10360255
2017-03-03,2511,12932114
2017-03-04,2119,10910687
2017-03-05,2479,12764533
2017-03-06,3413,17578135
2017-03-07,3868,19918449
2017-03-08,1458,7508030
2017-03-09,32,167015
2017-03-10,1607,8274454
2017-03-11,4966,25575364
2017-03-12,2059,10604314
2017-03-13,2475,12745633
2017-03-14,3862,19891618
2017-03-15,3198,16469031
2017-03-16,3486,17951201
2017-03-17,2425,12489265
2017-03-18,2420,12463052
2017-03-19,1823,9387369
2017-03-20,2715,13980963
2017-03-21,2241,11543674
2017-03-22,2148,11064724
2017-03-23,3707,19092956
2017-03-24,1663,8563575
2017-03-25,2015,10377045
2017-03-26,1585,8164347
2017-03-27,3503,18038854
2017-03-28,2098,10804289
2017-03-29,2850,14677912
2017-03-30,3065,15786141
2017-03-31,2864,14749394
2017-04-01,1798,9259958
2017-04-02,1570,8086222
2017-04-03,4442,22875889
2017-04-04,2834,14596182
2017-04-05,3225,16607360
2017-04-06,3696,19035637
2017-04-07,3231,16641247
2017-04-08,3071,15813281
2017-04-09,3953,20358260
2017-04-10,4780,24617619
2017-04-11,4074,20981976
2017-04-12,2879,14825408
2017-04-13,4349,22397145
2017-04-14,5076,26141194
