Tanggal,qty,Jumlah
2016-08-25,7073,45618722
2016-08-26,6463,41687512
2016-08-27,7022,45293642
2016-08-28,7121,45932450
2016-08-30,5331,34383467
2016-08-31,6756,43573362
2016-09-01,7780,50177968
2016-09-02,7428,47912858
2016-09-03,8206,52925992
2016-09-04,9738,62812744
2016-09-05,6889,44431599
2016-09-06,7588,48943632
2016-09-07,7920,51086387
2016-09-08,3727,24037602
2016-09-09,8397,54163101
2016-09-10,12283,79224124.5
2016-09-11,8621,55604289
2016-09-12,7235,46667814
2016-09-13,8510,54890016
2016-09-14,7655,49373460
2016-09-15,7657,49387908
2016-09-16,7726,49834570.5
2016-09-17,8611,55541853
2016-09-18,7798,50296455
2016-09-19,7341,47351966
2016-09-20,7297,47068489
2016-09-21,7325,47243026
2016-09-22,7392,47675756
2016-09-23,8783,56648350.5
2016-09-24,9253,59684172
2016-09-25,7607,49065666
2016-09-26,8138,52493196
2016-09-27,7300,47087253
2016-09-28,7280,46958513
2016-09-29,8834,56980784
2016-09-30,8819,56885517
2016-10-01,9153,59038527
2016-10-02,4998,32235294
2016-10-03,3465,22347766
2016-10-04,10177,65643585
2016-10-05,10578,68230874
2016-10-06,7329,47273727
2016-10-07,6334,40852946
2016-10-08,8475,54660847
2016-10-09,8448,54488569
2016-10-10,7357,47453424
2016-10-11,8089,52174243
2016-10-12,6311,40703822
2016-10-13,6564,42334504
2016-10-14,7198,46424069
2016-10-15,9952,64193561
2016-10-16,9032,58255433
2016-10-17,7764,50080509
2016-10-18,5762,37165673
2016-10-19,3647,23519989
2016-10-20,5854,37756300
2016-10-21,7812,50384239
2016-10-22,7592,48968916
2016-10-23,7394,47690848
2016-10-24,7651,49351400
2016-10-25,7292,47032303
2016-10-26,6721,43350837
2016-10-27,6267,40419118
2016-10-28,5784,37305510
2016-10-29,6514,42016525
2016-10-30,7318,47202325
2016-10-31,7070,45598662
2016-11-01,6751,43544659
2016-11-02,6450,41605144
2016-11-03,6430,41472145
2016-11-04,6512,42002530
2016-11-05,7533,48587398
2016-11-06,8892,57353722
2016-11-07,8306,53572023
2016-11-08,8303,53555124
2016-11-09,7250,46763983
2016-11-10,7799,50303808
2016-11-11,6939,44753975
2016-11-12,8100,52245644
2016-11-13,7292,47033464
2016-11-14,8223,53035124
2016-11-15,7102,45805642
2016-11-16,7042,45418900
2016-11-17,7212,46515816
2016-11-18,7056,45510555
2016-11-19,8687,56033050
2016-11-20,8178,52745391
2016-11-21,7121,45932965
2016-11-22,6776,43705845
2016-11-23,6984,45047767
2016-11-24,7339,47337452
2016-11-25,7063,45558026
2016-11-26,7767,50096698
2016-11-27,10486,67635022
2016-11-28,7595,48986395
2016-11-29,6980,45019000
2016-11-30,6687,43129408
2016-12-01,8154,52591171
2016-12-02,7612,49094755
2016-12-03,7902,50968093
2016-12-04,2710,17476662
2016-12-05,7691,49607597
2016-12-06,7696,49641521
2016-12-07,7091,45738626
2016-12-08,8270,53339436
